atm file : ./atm_trans_0_1_10_0_0_0.dat
0.85 200 10.6375 2.30432e-11
0.85 201 7.07263 8.45999e-08
0.85 202 6.64539 2.26261e-07
0.85 203 6.64539 2.26261e-07
0.85 204 6.64539 2.26261e-07
0.85 205 6.57426 2.66524e-07
0.85 206 6.51658 3.04386e-07
0.85 207 6.43504 3.6725e-07
0.85 208 6.34318 4.5375e-07
0.85 209 6.22554 5.94926e-07
0.85 210 6.10327 7.88377e-07
0.85 211 5.96688 1.07924e-06
0.85 212 5.81599 1.52762e-06
0.85 213 5.6602 2.18675e-06
0.85 214 5.49337 3.21092e-06
0.85 215 5.32185 4.76598e-06
0.85 216 5.14271 7.19936e-06
0.85 217 4.96015 1.09611e-05
0.85 218 4.77641 1.67336e-05
0.85 219 4.58841 2.57984e-05
0.85 220 4.40213 3.96159e-05
0.85 221 4.21889 6.04104e-05
0.85 222 4.0375 9.1727e-05
0.85 223 3.85742 0.000138862
0.85 224 3.683 0.000207493
0.85 225 3.51368 0.000306424
0.85 226 3.35116 0.000445489
0.85 227 3.19375 0.000640109
0.85 228 3.04282 0.0009061
0.85 229 2.90057 0.00125729
0.85 230 2.76526 0.00171686
0.85 231 2.6374 0.00230464
0.85 232 2.51732 0.00303866
0.85 233 2.40453 0.0039398
0.85 234 2.30245 0.00498368
0.85 235 2.20294 0.00626699
0.85 236 2.11498 0.00767402
0.85 237 2.03295 0.00926934
0.85 238 1.95746 0.0110292
0.85 239 1.89085 0.0128572
0.85 240 1.82488 0.0149665
0.85 241 1.76983 0.016989
0.85 242 1.7148 0.0192842
0.85 243 1.67185 0.021289
0.85 244 1.62081 0.0239439
0.85 245 1.58032 0.0262832
0.85 246 1.53529 0.029155
0.85 247 1.50461 0.0312886
0.85 248 1.47041 0.0338524
0.85 249 1.44814 0.0356334
0.85 250 1.41037 0.0388715
0.85 251 1.38965 0.0407709
0.85 252 1.35872 0.0437807
0.85 253 1.33357 0.0463909
0.85 254 1.30417 0.0496395
0.85 255 1.29344 0.0508816
0.85 256 1.24847 0.0564325
