atm file : ./atm_trans_0_1_10_0_0_0.dat
1.25 200 99999 0
1.25 201 9.86427 1.36689e-10
1.25 202 9.21034 6.16112e-10
1.25 203 9.21034 6.16112e-10
1.25 204 9.21034 6.16112e-10
1.25 205 9.21034 6.16112e-10
1.25 206 9.21034 6.16112e-10
1.25 207 9.21034 6.16112e-10
1.25 208 9.21034 6.16112e-10
1.25 209 9.21034 6.16112e-10
1.25 210 9.04671 8.98026e-10
1.25 211 8.51719 3.03953e-09
1.25 212 8.51719 3.03953e-09
1.25 213 8.18235 6.57134e-09
1.25 214 7.98793 1.02817e-08
1.25 215 7.72979 1.86297e-08
1.25 216 7.4826 3.29152e-08
1.25 217 7.20501 6.23725e-08
1.25 218 6.93429 1.16334e-07
1.25 219 6.67137 2.13124e-07
1.25 220 6.39742 4.00481e-07
1.25 221 6.13418 7.34208e-07
1.25 222 5.86946 1.35063e-06
1.25 223 5.60893 2.46078e-06
1.25 224 5.35542 4.41147e-06
1.25 225 5.11003 7.76192e-06
1.25 226 4.8759 1.33075e-05
1.25 227 4.64786 2.24976e-05
1.25 228 4.42989 3.71628e-05
1.25 229 4.22457 5.96248e-05
1.25 230 4.02856 9.3636e-05
1.25 231 3.844 0.00014322
1.25 232 3.67056 0.00021352
1.25 233 3.50786 0.00031056
1.25 234 3.36086 0.000435652
1.25 235 3.21742 0.000606151
1.25 236 3.09084 0.000811265
1.25 237 2.97274 0.00106478
1.25 238 2.8643 0.00136677
1.25 239 2.76885 0.00170276
1.25 240 2.67377 0.00211947
1.25 241 2.5951 0.00254038
1.25 242 2.51618 0.00304664
1.25 243 2.45485 0.00350877
1.25 244 2.38133 0.00415592
1.25 245 2.32384 0.00474417
1.25 246 2.2588 0.00551061
1.25 247 2.21505 0.00609472
1.25 248 2.16595 0.00682413
1.25 249 2.13437 0.00733883
1.25 250 2.07937 0.00832977
1.25 251 2.05005 0.00891142
1.25 252 2.00504 0.0098846
1.25 253 1.96895 0.0107411
1.25 254 1.92583 0.0118624
1.25 255 1.91087 0.0122781
1.25 256 1.84453 0.0143045
1.25 257 1.80708 0.0155925
1.25 258 1.79276 0.0161154
1.25 259 1.72537 0.0188203
1.25 260 1.69929 0.0199853
1.25 261 1.63935 0.0229432
1.25 262 1.61097 0.0244921
1.25 263 1.53676 0.029056
1.25 264 1.51911 0.0302616
1.25 265 1.46355 0.0343916
1.25 266 1.40715 0.0391604
1.25 267 1.35949 0.0437033
1.25 268 1.30024 0.0500916
1.25 269 1.25895 0.055087
1.25 270 1.20722 0.0620547
1.25 271 1.15617 0.0697959
1.25 272 1.10936 0.0777388
1.25 273 1.05664 0.087773
1.25 274 0.997561 0.100563
1.25 275 0.955301 0.110841
1.25 276 0.908389 0.123484
1.25 277 0.866539 0.135976
1.25 278 0.819583 0.151502
1.25 279 0.77873 0.166445
1.25 280 0.73512 0.184026
1.25 281 0.694252 0.202185
1.25 282 0.658197 0.219686
1.25 283 0.632828 0.232901
1.25 284 0.594164 0.254587
1.25 285 0.561476 0.274488
1.25 286 0.536212 0.29093
1.25 287 0.509708 0.309237
1.25 288 0.482009 0.329603
1.25 289 0.459816 0.346884
1.25 290 0.440781 0.362426
1.25 291 0.420468 0.37978
1.25 292 0.403018 0.39535
1.25 293 0.386251 0.410912
1.25 294 0.372388 0.42424
1.25 295 0.358179 0.43835
1.25 296 0.345825 0.450998
1.25 297 0.334567 0.462842
1.25 298 0.324394 0.473812
1.25 299 0.314767 0.484432
1.25 300 0.306741 0.493468
1.25 301 0.298259 0.5032
1.25 302 0.291927 0.510591
1.25 303 0.284711 0.519145
1.25 304 0.279676 0.525199
1.25 305 0.273176 0.533119
1.25 306 0.268938 0.538347
1.25 307 0.263327 0.545347
1.25 308 0.259493 0.550183
1.25 309 0.254941 0.55598
1.25 310 0.251017 0.561026
1.25 311 0.247481 0.565613
1.25 312 0.243559 0.570744
1.25 313 0.240614 0.574627
1.25 314 0.237071 0.579334
1.25 315 0.234356 0.582967
1.25 316 0.231119 0.587328
1.25 317 0.22869 0.590623
1.25 318 0.22559 0.594853
1.25 319 0.22319 0.59815
1.25 320 0.220784 0.601473
1.25 321 0.217933 0.605434
1.25 322 0.216249 0.607786
1.25 323 0.21335 0.611857
1.25 324 0.211326 0.614715
1.25 325 0.20939 0.617462
1.25 326 0.206956 0.620932
1.25 327 0.205142 0.623531
1.25 328 0.20328 0.62621
1.25 329 0.20097 0.62955
1.25 330 0.199271 0.632017
1.25 331 0.19755 0.634527
1.25 332 0.195468 0.637576
1.25 333 0.193848 0.639959
1.25 334 0.192103 0.642535
1.25 335 0.190172 0.645399
1.25 336 0.188548 0.647816
1.25 337 0.187024 0.650094
1.25 338 0.185279 0.652711
1.25 339 0.183704 0.655083
1.25 340 0.18222 0.657325
1.25 341 0.180596 0.659787
1.25 342 0.179056 0.662131
1.25 343 0.177622 0.664321
1.25 344 0.176215 0.666477
1.25 345 0.174781 0.668681
1.25 346 0.173318 0.670937
1.25 347 0.171938 0.673073
1.25 348 0.170558 0.675215
1.25 349 0.169203 0.677325
1.25 350 0.167894 0.679369
1.25 351 0.166569 0.681445
1.25 352 0.165228 0.683553
1.25 353 0.163954 0.685561
1.25 354 0.162673 0.687586
1.25 355 0.161424 0.689566
1.25 356 0.160216 0.691487
1.25 357 0.159032 0.693375
1.25 358 0.157824 0.695306
1.25 359 0.156654 0.697182
1.25 360 0.155493 0.699048
1.25 361 0.154325 0.700931
1.25 362 0.153174 0.702791
1.25 363 0.152064 0.704589
1.25 364 0.150978 0.706353
1.25 365 0.149885 0.708133
1.25 366 0.148794 0.709914
1.25 367 0.147727 0.711661
1.25 368 0.146687 0.713367
1.25 369 0.145666 0.715046
1.25 370 0.14461 0.716787
1.25 371 0.143606 0.718446
1.25 372 0.142601 0.72011
1.25 373 0.141605 0.721764
1.25 374 0.140651 0.723351
1.25 375 0.139714 0.724913
1.25 376 0.13877 0.726491
1.25 377 0.137826 0.728071
1.25 378 0.1369 0.729625
1.25 379 0.135983 0.731168
1.25 380 0.135067 0.732711
1.25 381 0.134152 0.734257
1.25 382 0.133238 0.735804
1.25 383 0.13238 0.737259
1.25 384 0.131517 0.738725
1.25 385 0.13067 0.740167
1.25 386 0.129808 0.741638
1.25 387 0.12897 0.74307
1.25 388 0.128157 0.744463
1.25 389 0.127361 0.745829
1.25 390 0.126558 0.747209
1.25 391 0.125764 0.748576
1.25 392 0.12497 0.749946
1.25 393 0.124186 0.751301
1.25 394 0.123411 0.752643
1.25 395 0.122646 0.75397
1.25 396 0.121855 0.755344
1.25 397 0.121151 0.75657
1.25 398 0.120387 0.757902
1.25 399 0.119685 0.759128
1.25 400 0.118957 0.760402
1.25 401 0.118221 0.761691
1.25 402 0.11752 0.762922
1.25 403 0.116815 0.764161
1.25 404 0.116141 0.765348
1.25 405 0.115467 0.766537
1.25 406 0.114794 0.767726
1.25 407 0.114091 0.768969
1.25 408 0.113393 0.770206
1.25 409 0.112751 0.771346
1.25 410 0.112143 0.772426
1.25 411 0.11149 0.773588
1.25 412 0.11082 0.774783
1.25 413 0.110206 0.775879
1.25 414 0.109561 0.777032
1.25 415 0.10895 0.778126
1.25 416 0.108335 0.779229
1.25 417 0.107743 0.780292
1.25 418 0.10713 0.781394
1.25 419 0.106528 0.782478
1.25 420 0.105936 0.783545
1.25 421 0.105371 0.784565
1.25 422 0.104805 0.785588
1.25 423 0.104213 0.78666
1.25 424 0.103635 0.787708
1.25 425 0.10306 0.788751
1.25 426 0.102516 0.78974
1.25 427 0.101962 0.790748
1.25 428 0.101435 0.791708
1.25 429 0.100906 0.792673
1.25 430 0.100373 0.793646
1.25 431 0.09983 0.794639
1.25 432 0.099278 0.79565
1.25 433 0.098771 0.796579
1.25 434 0.098265 0.797508
1.25 435 0.097756 0.798443
1.25 436 0.097242 0.799389
1.25 437 0.096731 0.80033
1.25 438 0.096231 0.801252
1.25 439 0.095751 0.802138
1.25 440 0.095267 0.803032
1.25 441 0.09476 0.80397
1.25 442 0.094278 0.804863
1.25 443 0.093794 0.805761
1.25 444 0.093344 0.806596
1.25 445 0.092883 0.807453
1.25 446 0.092411 0.808331
1.25 447 0.09194 0.809208
1.25 448 0.09149 0.810047
1.25 449 0.09103 0.810905
1.25 450 0.090581 0.811744
1.25 451 0.090122 0.812602
1.25 452 0.089694 0.813403
1.25 453 0.089268 0.814202
1.25 454 0.088809 0.815063
1.25 455 0.088372 0.815883
1.25 456 0.087933 0.816708
1.25 457 0.087521 0.817484
1.25 458 0.087108 0.818261
1.25 459 0.086691 0.819047
1.25 460 0.086272 0.819838
1.25 461 0.085885 0.820569
1.25 462 0.085471 0.821351
1.25 463 0.085062 0.822125
1.25 464 0.084663 0.822881
1.25 465 0.084252 0.82366
1.25 466 0.083841 0.82444
1.25 467 0.083442 0.825198
1.25 468 0.08308 0.825886
1.25 469 0.082681 0.826645
1.25 470 0.082295 0.82738
1.25 471 0.081921 0.828093
1.25 472 0.081535 0.828829
1.25 473 0.081162 0.829541
1.25 474 0.0808 0.830233
1.25 475 0.080403 0.830992
1.25 476 0.080042 0.831683
1.25 477 0.079693 0.832352
1.25 478 0.079332 0.833044
1.25 479 0.078971 0.833737
1.25 480 0.078637 0.834378
1.25 481 0.078274 0.835076
1.25 482 0.077913 0.83577
1.25 483 0.077556 0.836458
1.25 484 0.077217 0.837111
1.25 485 0.076854 0.837811
1.25 486 0.076509 0.838477
1.25 487 0.076166 0.839139
1.25 488 0.075838 0.839773
1.25 489 0.075492 0.840442
1.25 490 0.075168 0.84107
1.25 491 0.074845 0.841695
1.25 492 0.074496 0.842372
1.25 493 0.074171 0.843003
1.25 494 0.073848 0.84363
1.25 495 0.073525 0.844258
1.25 496 0.073216 0.844859
1.25 497 0.072907 0.84546
1.25 498 0.072584 0.846089
1.25 499 0.072275 0.846691
1.25 500 0.071979 0.847268
1.25 501 0.071671 0.847869
